Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ITV0zqzjOYfFWpW0xBmRa,"Show Me Love","Show Me Love","WizTheMc;bees & honey",2025-02-07,176965,87,false,31fk7r2twiddpapb5cqweuygxwky,2025-08-12T19:51:08Z,"","Bamboo Artists",0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
spotify:track:2McvcH3pdgPVklNTGRhODP,"Parano (feat. DDB)","Parano (feat. DDB)","фрози;DDB",2025-04-11,116791,68,false,31fk7r2twiddpapb5cqweuygxwky,2025-08-12T19:51:37Z,"kompa","Ultra Records, LLC",0.663,0.537,5,-5.88,0,0.0284,0.725,0.515,0.258,0.236,93.593,4
spotify:track:0KRGKolp8RuDfiu8galW4q,"1 OF 1","1 OF 1","SURIYA MQT",2025-06-19,124428,57,false,31fk7r2twiddpapb5cqweuygxwky,2025-08-13T16:38:30Z,"thai hip hop,thai trap,t-pop","Suriya",0.722,0.309,6,-15.297,1,0.169,0.871,0.0000183,0.191,0.499,113.333,5
spotify:track:2TnfUjv4rwqskSHCj4NY7b,"En nuit","Euphories","Videoclub",2021-01-29,221106,71,false,31fk7r2twiddpapb5cqweuygxwky,2025-08-15T11:52:58Z,"french indie pop,french pop","Petit Lion Productions",0.639,0.687,11,-8.417,0,0.0351,0.114,0.0815,0.128,0.36,99.995,4
spotify:track:2mdEsXPu8ZmkHRRtAdC09e,"Cinnamon Girl","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,300683,86,false,31fk7r2twiddpapb5cqweuygxwky,2025-08-15T12:04:14Z,"","Polydor Records",0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,5
spotify:track:09CtPGIpYB4BrO8qb1RGsF,"Sorry","Purpose (Deluxe)","Justin Bieber",2015-11-13,200786,85,false,31fk7r2twiddpapb5cqweuygxwky,2025-08-17T15:01:24Z,"","RBMG/Def Jam",0.655,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.409,99.947,4
spotify:track:7qiZfU4dY1lWllzX7mPBI3,"Shape of You","÷ (Deluxe)","Ed Sheeran",2017-03-03,233712,88,false,31fk7r2twiddpapb5cqweuygxwky,2025-08-18T04:15:55Z,"soft pop","Atlantic Records UK",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
spotify:track:7DnAm9FOTWE3cUvso43HhI,"Sweet but Psycho","Heaven & Hell","Ava Max",2020-09-18,187436,82,false,31fk7r2twiddpapb5cqweuygxwky,2025-08-21T09:21:58Z,"","Atlantic Records",0.72,0.706,1,-4.719,1,0.0473,0.0684,0,0.166,0.62,133.002,4
spotify:track:3BJe4B8zGnqEdQPMvfVjuS,"Summertime Sadness","Born To Die - The Paradise Edition","Lana Del Rey",2012-01-01,265427,83,false,31fk7r2twiddpapb5cqweuygxwky,2025-08-22T18:52:40Z,"","Polydor Records",0.565,0.654,1,-6.826,0,0.0335,0.0542,0.0000018,0.122,0.235,111.968,4
spotify:track:0wEeW8Bwr0fHXuS2zLiDXk,"Duvet - Sped Up Version","Duvet","bôa",2023-03-17,182792,62,false,31fk7r2twiddpapb5cqweuygxwky,2025-08-23T15:10:44Z,"","Nettwerk Music Group",0.59,0.839,1,-9.14,0,0.0274,0.274,0.0038,0.105,0.651,104.605,4
